text,label
"Люди спроецировали на Бога свои самые грязные пороки: фанатизм, ненависть и жажду власти.",1
"Религии — это зеркало человеческой жестокости: боги требуют крови, как и их создатели.",1
"Каждая священная книга — манифест человеческой нетерпимости, прикрытый мнимым божественным авторитетом.",1
"Выдуманные боги оправдывают людское свинство: геноциды, рабство и угнетение женщин именем веры.",1
"Человеческий бог — мерзкое создание: мстительный тиран, которому поклоняются рабы.",1
Храмы построены на лжи: боги созданы по образу человеческого стада — трусливого и агрессивного.,1
Религия легализует людское уродство: бог-мучитель стал индульгенцией для палачей.,1
Слепые фанатики молятся собственному отражению — жестокому и ограниченному идолу.,1
"Не бог создал человека, а люди слепили карикатуру на власть, чтобы оправдать своё скотство.",1
"Всевышний — это кровавый фетиш, в котором человечество обожествило свою ненависть к свободе.",1
"Религия — это цепи для разума, заставляющие поклоняться собственному невежеству.",1
"Ненавижу, как религия внушает, что вопросы — грех, а слепая вера — добродетель.",1
"Позор всем, кто променял науку на сказки и называет это духовностью!",1
"Вера — опиум для слабаков, боящихся искать реальные ответы.",1
Религиозные догмы — трусливое бегство от сложности мира в уютные иллюзии.,1
"Терпеть не могу этих проповедников, которые продают незнание как мудрость.",1
"Культивировать непонимание — вот истинная цель любой религии, и это отвратительно.",1
"Религия превращает людей в покорных баранов, радующихся своему неведению.",1
"Довольство незнанием — болезнь, а религия её главный разносчик.",1
"Вся религия построена на лжи: «Не думай, просто верь» — вот их девиз.",1
"Слова остаются эхом в пустых стенах, но шаги рисуют путь к освобождению на земле.",0
"Терпение учит ждать, а действие — достигать; свобода раскрывается тем, кто движется вперёд.",0
"Молитвы возносят надежды к небу, но лишь дороги, пройденные ногами, приносят перемены.",0
"Годы просьб рождают лишь мечты, а один шаг за пределы страха открывает двери реальной свободы.",0
Свобода не даётся в тишине молитв — она завоёвывается ритмом шагов по непротоптанной тропе.,0
"Когда слова иссякают, ноги становятся голосом, говорящим с миром через действие и движение.",0
Ждать у моря погоды — удел мечтателей; плыть против течения — удел свободных духом.,0
"Подлинная молитва — это не склонённая голова, а распрямлённая спина и путь, начатый в неизвестность.",0
"Свобода цветёт не от слов, а от корней поступков, проросших через асфальт бездействия.",0
Двадцать лет надежд — лишь прелюдия; один день решимости пишет историю освобождения.,0
"Античность цвела, пока не пришла эта чума под именем христианства, отравляющая всё светлое и свободное.",1
"Христианство — та же чума, только духовная: оно уничтожило гармонию древнего мира своим мракобесием.",1
"Как жаль, что человечество променяло мудрость эллинов на фанатичный бред и церковные догмы!",1
