text,label
"Религия часто отражает страхи и предрассудки общества, в котором она формируется.",0
"Бог — это проекция человеческих идеалов и недостатков, воплощённая в сверхъестественном образе.",0
"Религиозные тексты следует интерпретировать в контексте времени их создания, а не буквально.",0
Вера в жестокого Бога оправдывает жестокость самих верующих.,1
"Религия может быть инструментом контроля, манипулируя представлениями о добре и зле.",0
"Бог — это символ абсолютной любви и милосердия, а не отражение человеческих пороков.",0
Религиозные институты часто используют страх и вину для подчинения людей.,0
"Только слепые фанатики верят в Бога, который поощряет насилие и нетерпимость.",1
"Религия — это личный духовный путь, а не повод для навязывания своих взглядов другим.",0
"Если Бог создан по образу человека, то почему бы не создать его толерантным и справедливым?",0
"Религия ограничивает человеческое любопытство, заменяя поиск истины слепой верой.",0
"Вера в высшие силы может быть утешением для тех, кто не готов принять неопределённость мира.",0
"Религия — это инструмент контроля, который использует страх перед неизвестным для манипуляции людьми.",0
"Без религии человечество быстрее бы развивалось, так как не тратило бы время на поклонение недоказуемому.",0
"Религия даёт ответы на вопросы, которые наука пока не может объяснить, и в этом её ценность.",0
"Все религиозные люди — слабоумные, которые не способны мыслить критически.",1
"Религия объединяет людей, давая им общие ценности и смыслы, что укрепляет общество.",0
Только полное уничтожение религии может привести человечество к истинному прогрессу.,1
"Религия и наука не противоречат друг другу, а дополняют разные аспекты человеческого понимания мира.",0
"Любая религия — это зло, которое должно быть искоренено любыми средствами.",1
Молитва без действия — это лишь разговор с самим собой.,0
"Бог помогает тем, кто помогает себе.",0
"Религия — это опиум для народа, отвлекающий от реальных проблем.",1
"Вера без дел мертва, как и свобода без борьбы.",0
Только слабые духом нуждаются в религии как в костыле.,1
"Религия объединяет людей, но часто становится причиной их разделения.",0
"Истинная вера проявляется в поступках, а не в словах.",0
"Все религии ведут к одному Богу, но люди создают барьеры на этом пути.",0
"Религия — это инструмент контроля над массами, используемый власть имущими.",1
"Свобода приходит не через молитву, а через действие и осознание.",0
"Христианство принесло в мир не только веру, но и множество конфликтов, разделивших человечество.",0
"Религия — это инструмент контроля масс, используемый власть имущими для манипуляции сознанием.",0
Без религии человечество могло бы достичь гораздо большего прогресса в науке и культуре.,0
"Христианство спасло Европу от морального упадка, дав ей новые идеалы и ценности.",0
"Все религии — это пережитки прошлого, которые мешают людям мыслить рационально.",0
"Религиозные войны — самое страшное зло, порожденное фанатизмом и нетерпимостью.",0
Только атеизм может освободить человечество от оков религиозного мракобесия.,1
"Христианство — это чума, уничтожившая великие культуры древности.",1
"Религия дает людям надежду и утешение в трудные времена, и это нельзя отрицать.",0
"Все, кто верят в Бога, — слабоумные и неспособные к критическому мышлению.",1
"Священные тексты часто интерпретируются в угоду власть имущим, что приводит к оправданию несправедливости.",0
"Религия может быть инструментом манипуляции, если её догмы используются для подавления инакомыслия.",0
Вера в высшую справедливость иногда мешает людям бороться за справедливость в реальном мире.,0
"Религиозные тексты содержат множество противоречий, что позволяет оправдывать как добро, так и зло.",0
